output_dir,output_filename,travel_cost,conquer_cost,cost,
outputs-dijsktra-greedy,406.out,13202029219.841223,8072423693.052921,21274452912.894142,
outputs-dijsktra-greedy,407.out,30492056764.91871,20056467554.25842,50548524319.177124,
outputs-dijsktra-greedy,408.out,992.0,357.0,1349.0,
outputs-dijsktra-greedy,409.out,2080.0,805.0,2885.0,
outputs-dijsktra-greedy,41.out,7306.0,760.0,8066.0,
outputs-dijsktra-greedy,410.out,566.0,235.0,801.0,
outputs-dijsktra-greedy,411.out,2980.0,1915.0,4895.0,
outputs-dijsktra-greedy,412.out,56844.0,14726.0,71570.0,
outputs-dijsktra-greedy,413.out,1130.0,800.0,1930.0,
outputs-dijsktra-greedy,414.out,4492.0,527.0,5019.0,
outputs-dijsktra-greedy,415.out,6028.0,671.0,6699.0,
outputs-dijsktra-greedy,416.out,2166.0,265.0,2431.0,
outputs-dijsktra-greedy,417.out,6494.0,3074.0,9568.0,
outputs-dijsktra-greedy,418.out,12912.0,4677.0,17589.0,
outputs-dijsktra-greedy,419.out,2916.0,366.0,3282.0,
outputs-dijsktra-greedy,42.out,274952.9000000002,411646.542,686599.4420000003,
outputs-dijsktra-greedy,420.out,196.0,97.0,293.0,
outputs-dijsktra-greedy,421.out,392.0,3940.0,4332.0,
outputs-dijsktra-greedy,422.out,92.0,94.0,186.0,
outputs-dijsktra-greedy,423.out,4967.0,1879.0,6846.0,
outputs-dijsktra-greedy,424.out,223.2,70.0,293.2,
outputs-dijsktra-greedy,425.out,1394.0,417.0,1811.0,
outputs-dijsktra-greedy,426.out,44296453296.84899,31244520144.131897,75540973440.9809,
outputs-dijsktra-greedy,427.out,47092021776.896194,32352242998.782906,79444264775.67911,
outputs-dijsktra-greedy,428.out,30854532.04720001,10076375.651000002,40930907.69820001,
outputs-dijsktra-greedy,429.out,3094.0,766.0,3860.0,
outputs-dijsktra-greedy,43.out,285106.174,719109.1880000001,1004215.3620000001,
outputs-dijsktra-greedy,430.out,624.0,32.0,656.0,
outputs-dijsktra-greedy,431.out,86.0,43.0,129.0,
outputs-dijsktra-greedy,432.out,31.825940000000003,9.0,40.82594,
outputs-dijsktra-greedy,433.out,44.69164000000001,19.0,63.69164000000001,
outputs-dijsktra-greedy,434.out,45.912240000000004,70.0,115.91224,
outputs-dijsktra-greedy,435.out,72.0,72.0,144.0,
outputs-dijsktra-greedy,436.out,72.0,72.0,144.0,
outputs-dijsktra-greedy,437.out,40.0,40.0,80.0,
outputs-dijsktra-greedy,438.out,1193.0964,251266.05909999998,252459.1555,
outputs-dijsktra-greedy,439.out,1748.8664000000003,272971.27849999996,274720.14489999996,
outputs-dijsktra-greedy,44.out,133566.92600000004,246308.083,379875.0090000001,
outputs-dijsktra-greedy,440.out,1538.7874000000002,385089.2356,386628.023,
outputs-dijsktra-greedy,441.out,33466.45200000001,10776.879999999997,44243.33200000001,
outputs-dijsktra-greedy,442.out,75248.778,27190.965,102439.743,
outputs-dijsktra-greedy,443.out,74.0,25.0,99.0,
outputs-dijsktra-greedy,444.out,84.0,22.0,106.0,
outputs-dijsktra-greedy,445.out,214.0,54.0,268.0,
outputs-dijsktra-greedy,446.out,48.0,15.0,63.0,
outputs-dijsktra-greedy,447.out,2206.0,1582.0,3788.0,
outputs-dijsktra-greedy,448.out,3762.0,3393.0,7155.0,
outputs-dijsktra-greedy,449.out,958.0,751.0,1709.0,
outputs-dijsktra-greedy,45.out,359.4000000000002,519.5000000000003,878.9000000000005,
outputs-dijsktra-greedy,450.out,220.0,23.0,243.0,
outputs-dijsktra-greedy,451.out,252.0,50.0,302.0,
outputs-dijsktra-greedy,452.out,120.0,38.0,158.0,
outputs-dijsktra-greedy,453.out,51.8768,40.36288,92.23967999999999,
outputs-dijsktra-greedy,454.out,75.81574,41.881420000000006,117.69716000000001,
outputs-dijsktra-greedy,455.out,112.33799999999998,38.985,151.32299999999998,
outputs-dijsktra-greedy,456.out,178.0,270.0,448.0,
outputs-dijsktra-greedy,457.out,362.0,546.0,908.0,
outputs-dijsktra-greedy,458.out,82.0,126.0,208.0,
outputs-dijsktra-greedy,459.out,2843.984,1321.7749999999999,4165.759,
outputs-dijsktra-greedy,46.out,903.2,1054.100000000001,1957.300000000001,
outputs-dijsktra-greedy,460.out,3961.8300000000027,1751.8890000000004,5713.719000000003,
outputs-dijsktra-greedy,461.out,1404.6339999999993,527.441,1932.0749999999994,
outputs-dijsktra-greedy,462.out,111512800.0,1483832416.0,1595345216.0,
outputs-dijsktra-greedy,463.out,294148800.0,502356715.0,796505515.0,
outputs-dijsktra-greedy,464.out,79296460.0,2482889296.0,2562185756.0,
outputs-dijsktra-greedy,465.out,20.0,101.0,121.0,
outputs-dijsktra-greedy,466.out,20.0,101.0,121.0,
outputs-dijsktra-greedy,467.out,20.0,101.0,121.0,
outputs-dijsktra-greedy,468.out,320.0,172.0,492.0,
outputs-dijsktra-greedy,469.out,644.0,359.0,1003.0,
outputs-dijsktra-greedy,47.out,171.40000000000003,267.29999999999995,438.7,
outputs-dijsktra-greedy,470.out,186.0,102.0,288.0,
