output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-concorde,345.out,672394.1701499999,960.0,673354.1701499999
outputs-concorde,346.out,4911.263689999998,280.0,5191.263689999998
outputs-concorde,347.out,1332.0,15.0,1347.0
outputs-concorde,348.out,9.0,7.0,16.0
outputs-concorde,349.out,10.0,5.0,15.0
outputs-concorde,35.out,160.0,89.0,249.0
outputs-concorde,350.out,13.0,6.0,19.0
outputs-concorde,351.out,530.7011600000001,509.0,1039.70116
outputs-concorde,352.out,569.1591700000001,525.0,1094.1591700000001
outputs-concorde,353.out,545.7780799999999,604.0,1149.77808
outputs-concorde,354.out,1306.0,480.0,1786.0
outputs-concorde,355.out,2614.0,960.0,3574.0
outputs-concorde,356.out,652.0,240.0,892.0
outputs-concorde,357.out,118.0,186.0,304.0
outputs-concorde,358.out,118.0,186.0,304.0
outputs-concorde,359.out,118.0,186.0,304.0
outputs-concorde,36.out,14.0,14.0,28.0
outputs-concorde,360.out,755.0,102.0,857.0
outputs-concorde,361.out,740.0,126.0,866.0
outputs-concorde,362.out,590.0,177.0,767.0
outputs-concorde,363.out,60.0,31.0,91.0
outputs-concorde,364.out,65.0,35.0,100.0
outputs-concorde,365.out,4.0,2.5,6.5
outputs-concorde,366.out,462.0,298.0,760.0
outputs-concorde,367.out,672.0,773.0,1445.0
outputs-concorde,368.out,434.0,422.0,856.0
outputs-concorde,369.out,267.0,738.0,1005.0
outputs-concorde,37.out,20.0,17.0,37.0
outputs-concorde,370.out,567.0,2228.0,2795.0
outputs-concorde,371.out,426.0,5551.0,5977.0
outputs-concorde,372.out,36429363.1395,1458049.0,37887412.1395
outputs-concorde,373.out,40854845.71600001,1876587.0,42731432.71600001
outputs-concorde,374.out,30828339.7784,1216958.0,32045297.7784
outputs-concorde,378.out,639.9000000000001,6462.0,7101.9
outputs-concorde,379.out,661.5350000000001,26262.0,26923.535
outputs-concorde,38.out,12.0,11.0,23.0
outputs-concorde,380.out,599.377,1651.0,2250.377
outputs-concorde,381.out,3004.0,2712.0,5716.0
outputs-concorde,382.out,5376.0,5456.0,10832.0
outputs-concorde,383.out,1045.0,1154.0,2199.0
outputs-concorde,384.out,72.0,51.0,123.0
outputs-concorde,385.out,70.0,59.0,129.0
outputs-concorde,386.out,45.0,160.0,205.0
outputs-concorde,387.out,47979.0,71460.0,119439.0
outputs-concorde,388.out,54162.0,79423.0,133585.0
outputs-concorde,389.out,35172.0,69161.0,104333.0
outputs-concorde,39.out,26.200000000000102,348.0,374.2000000000001
outputs-concorde,390.out,23134947548.0,23960137505.0,47095085053.0
outputs-concorde,391.out,39678009771.0,44305119247.0,83983129018.0
outputs-concorde,392.out,24690513796.0,20243895162.0,44934408958.0
outputs-concorde,393.out,0.004,2000000000.0,2000000000.004
outputs-concorde,394.out,24773612469.0,21347854348.0,46121466817.0
outputs-concorde,395.out,16374488789.0,16574592820.0,32949081609.0
outputs-concorde,396.out,446.0,1138.0,1584.0
outputs-concorde,397.out,862.0,2312.0,3174.0
outputs-concorde,398.out,242.0,401.0,643.0
outputs-concorde,399.out,7.460000000000001,25.0,32.46
outputs-concorde,4.out,148.0,408.0,556.0
outputs-concorde,40.out,10056.0,75.0,10131.0
outputs-concorde,400.out,47.0,57.0,104.0
outputs-concorde,402.out,1526.0,1016.0,2542.0
outputs-concorde,404.out,900.0,501.0,1401.0
outputs-concorde,405.out,6051300371.372499,4655259964.348131,10706560335.72063
outputs-concorde,406.out,7987683191.33751,7005674039.27563,14993357230.61314
outputs-concorde,407.out,16283821765.89783,14557765701.06118,30841587466.959007
outputs-concorde,408.out,416.0,1026.0,1442.0
outputs-concorde,409.out,768.0,2347.0,3115.0
